criterion,model1,model2,N,W,raw_p,Holm_p
overall,HingGPT,Phi-3.5-mini,34,35.0,0.011929381726193766,0.047717526904775064
overall,HingGPT,Qwen2.5-3B,34,81.0,0.007998003298148459,0.0399900164907423
overall,HingGPT,Qwen2.5-7B,34,30.0,0.0008556255322005597,0.005133753193203358
overall,Phi-3.5-mini,Qwen2.5-3B,34,116.5,0.12561421061162167,0.25122842122324335
overall,Phi-3.5-mini,Qwen2.5-7B,34,90.0,0.04743458037072535,0.14230374111217606
overall,Qwen2.5-3B,Qwen2.5-7B,34,185.0,0.6793355034185704,0.6793355034185704
