criterion,model1,model2,N,W,raw_p,Holm_p
spelling_consistency,HingGPT,Phi-3.5-mini,34,50.5,0.10162899026958978,0.20325798053917957
spelling_consistency,HingGPT,Qwen2.5-3B,34,28.5,0.00042604036199850407,0.0017041614479940163
spelling_consistency,HingGPT,Qwen2.5-7B,34,4.5,2.4933627816022033e-05,0.0001496017668961322
spelling_consistency,Phi-3.5-mini,Qwen2.5-3B,34,42.0,0.0015908591709305703,0.004772577512791711
spelling_consistency,Phi-3.5-mini,Qwen2.5-7B,34,19.0,0.0001449904524665237,0.0007249522623326185
spelling_consistency,Qwen2.5-3B,Qwen2.5-7B,34,140.5,0.547357640523072,0.547357640523072
