criterion,model_a,model_b,N,model_a_wins,model_b_wins,ties,non_ties,model_a_win_rate_non_ties,model_b_win_rate_non_ties,tie_rate,raw_p,holm_adjusted_p,significant_alpha_0.05
overall,HingGPT,Phi-3.5-mini,34,19,8,7,27,0.7037037037037037,0.2962962962962963,0.20588235294117646,0.052238985896110535,0.3134339153766632,False
overall,HingGPT,Qwen2.5-3B,34,17,8,9,25,0.68,0.32,0.2647058823529412,0.10775214433670044,0.5387607216835022,False
overall,HingGPT,Qwen2.5-7B,34,16,13,5,29,0.5517241379310345,0.4482758620689655,0.14705882352941177,0.711071103811264,1.0,False
overall,Phi-3.5-mini,Qwen2.5-3B,34,13,17,4,30,0.43333333333333335,0.5666666666666667,0.11764705882352941,0.5846647117286922,1.0,False
overall,Phi-3.5-mini,Qwen2.5-7B,34,16,14,4,30,0.5333333333333333,0.4666666666666667,0.11764705882352941,0.8555355519056321,1.0,False
overall,Qwen2.5-3B,Qwen2.5-7B,34,12,12,10,24,0.5,0.5,0.29411764705882354,1.0,1.0,False
