row_index,model,total_roman_words,english_lexicon_words,hindi_lexicon_words,classified_words,english_share_classified,hindi_share_classified,code_mixing_index_percent,both_languages_present
23,Qwen2.5-7B,37.0,20.0,1.0,21.0,0.9523809523809523,0.047619047619047616,4.761904761904762,1.0
24,Qwen2.5-7B,31.0,12.0,2.0,14.0,0.8571428571428571,0.14285714285714285,14.285714285714285,1.0
25,Qwen2.5-7B,38.0,19.0,1.0,20.0,0.95,0.05,5.0,1.0
26,Qwen2.5-7B,22.0,6.0,6.0,12.0,0.5,0.5,50.0,1.0
27,Qwen2.5-7B,25.0,0.0,19.0,19.0,0.0,1.0,0.0,0.0
28,Qwen2.5-7B,36.0,14.0,2.0,16.0,0.875,0.125,12.5,1.0
29,Qwen2.5-7B,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Qwen2.5-7B,34.0,9.0,0.0,9.0,1.0,0.0,0.0,0.0
31,Qwen2.5-7B,43.0,20.0,1.0,21.0,0.9523809523809523,0.047619047619047616,4.761904761904762,1.0
32,Qwen2.5-7B,41.0,19.0,2.0,21.0,0.9047619047619048,0.09523809523809523,9.523809523809524,1.0
33,Qwen2.5-7B,46.0,25.0,0.0,25.0,1.0,0.0,0.0,0.0
