model,fluency_mean,fluency_std,code_mixing_naturalness_mean,code_mixing_naturalness_std,hindi_grammar_mean,hindi_grammar_std,prompt_adherence_mean,prompt_adherence_std,spelling_consistency_mean,spelling_consistency_std,overall_mean,overall_std,samples,avg_CMI,avg_M_index,avg_SyMCoM_imbalance,total_hindi_tokens,total_english_tokens,total_other_tokens
HingGPT,2.088,0.866,1.882,0.844,1.941,0.814,1.853,0.925,1.971,0.937,1.735,0.864,34,6.418235294117647,0.1467617647058823,0.8498558823529412,187,2251,1915
Phi-3.5-mini,2.265,0.567,2.118,0.478,2.118,0.478,2.912,0.753,2.206,0.538,2.206,0.538,34,25.59617647058824,0.573770588235294,0.7925176470588235,634,1744,86
Qwen2.5-3B,3.176,1.336,3.0,1.326,3.059,1.347,3.412,1.438,3.206,1.431,2.647,1.515,34,6.018235294117647,0.1354705882352941,0.8019205882352941,97,1312,77
Qwen2.5-7B,3.265,1.31,3.294,1.194,3.147,1.209,3.559,1.353,3.441,1.44,2.765,1.558,34,9.746470588235294,0.2247882352941176,0.7439411764705882,214,794,109
