model,samples,avg_CMI,avg_M_index,avg_SyMCoM,avg_hindi_ratio,avg_english_ratio,total_switches
hinggpt,34,10.136623964699105,0.10136623964699103,0.17400754210955055,0.10136623964699103,0.8398102309412442,451
phi35_mini,34,21.28857707229199,0.21288577072291992,0.29107753557659793,0.21288577072291992,0.7871142292770801,668
qwen25_3b,34,11.776343073457799,0.11776343073457797,0.18488813235433169,0.1313857217562498,0.7215554547143385,251
qwen25_7b,34,15.13800858793859,0.1513800858793859,0.22859684043511333,0.15777394777196901,0.6657554639927369,278
