model_a,model_b,n_pairs,wilcoxon_statistic,raw_p,rank_biserial,mean_a,mean_b,median_a,median_b,holm_p,significant_after_holm
HingGPT,Phi-3.5-mini,28,0.0,4.290594042032317e-06,-1.0,2.4642857142857144,3.892857142857143,2.0,4.0,2.5743564252193903e-05,True
HingGPT,Qwen2.5-3B,27,6.0,3.5088653112142303e-05,-0.9565217391304348,2.4814814814814814,3.7037037037037037,2.0,4.0,0.00014035461244856921,True
HingGPT,Qwen2.5-7B,28,0.0,4.290594042032317e-06,-1.0,2.4642857142857144,3.8214285714285716,2.0,4.0,2.5743564252193903e-05,True
Phi-3.5-mini,Qwen2.5-3B,33,12.0,0.09990607046250709,0.5636363636363636,3.909090909090909,3.696969696969697,4.0,4.0,0.29971821138752125,False
Phi-3.5-mini,Qwen2.5-7B,34,20.0,0.7388826803635273,0.1111111111111111,3.911764705882353,3.8823529411764706,4.0,4.0,0.7388826803635273,False
Qwen2.5-3B,Qwen2.5-7B,33,6.0,0.16052953514392299,-0.5714285714285714,3.696969696969697,3.878787878787879,4.0,4.0,0.32105907028784597,False
